lastweek,predicted
10780.0,8693.2
6440.0,4788.2
23740.0,18727.8
27920.0,17367.2
5680.0,10877.06
5300.0,7829.3
16500.0,16009.0
8440.0,8251.6
1120.0,2714.4
11000.0,10474.0
2700.0,13831.4
23000.0,14444.2
5740.0,5465.4
15340.0,12829.7
21680.0,24277.2
4880.0,3916.6
11000.0,11340.2
40.0,148.0
2120.0,2213.6
7680.0,8828.73
2100.0,2481.2
2700.0,11970.0
25140.0,21816.8
3750.0,8778.25
25160.0,20191.2
12280.0,10716.8
12080.0,10179.2
4180.0,11173.73
30860.0,25569.0
18480.0,20547.59
8500.0,6908.8
10880.0,8050.0
17060.0,20812.2
4640.0,12007.6
3320.0,3716.4
14520.0,13096.8
18920.0,16960.2
13020.0,11733.71
480.0,771.8
9000.0,16023.8
9380.0,10159.0
12460.0,13333.8
15840.0,21279.8
23800.0,16575.2
11080.0,10003.6
26140.0,24704.6
6460.0,7155.8
19560.0,19736.4
9820.0,10000.8
10240.0,9902.8
12940.0,10404.31
15500.0,8463.0
7740.0,10784.0
15900.0,15294.0
29380.0,24906.6
26780.0,18861.4
3220.0,11147.8
4740.0,4404.8
6100.0,6860.0
18460.0,18514.2
9880.0,11245.53
11240.0,8564.6
17360.0,10535.11
20820.0,17733.0
10160.0,11142.0
6780.0,10534.4
5600.0,7186.25
20960.0,17638.0
7940.0,6189.8
11700.0,10589.0
16060.0,13839.8
13580.0,19862.4
19760.0,16727.2
4800.0,9799.4
2720.0,11620.2
5320.0,4290.6
25280.0,19976.0
12900.0,9517.0
15640.0,5721.4
6400.0,6870.6
22460.0,20441.6
13680.0,17129.5
8140.0,7863.0
12780.0,19975.4
24660.0,21033.8
13980.0,8975.92
30720.0,19249.0
4400.0,12412.0
4040.0,5620.0
4000.0,4094.6
9940.0,5957.8
8720.0,9194.2
10560.0,10065.0
14480.0,10644.65
7540.0,12842.0
16640.0,15676.8
8720.0,8657.6
2240.0,2247.0
16960.0,10325.2
6020.0,6527.6
2320.0,8691.2
14960.0,12344.4
7780.0,6950.8
9100.0,8918.2
14660.0,14929.0
21220.0,23279.2
11574.0,12260.48
14860.0,18298.4
10800.0,10506.4
8260.0,8777.4
5000.0,7777.4
19140.0,16189.8
5500.0,5751.2
10980.0,5073.6
12440.0,8914.6
24900.0,20384.8
11680.0,20247.8
22700.0,24627.0
5220.0,4943.4
15560.0,15110.0
8000.0,8040.2
20920.0,18748.8
18100.0,18936.2
11860.0,6055.4
7760.0,5200.8
9000.0,12412.4
8840.0,8904.8
6540.0,9825.2
18620.0,19586.0
6800.0,8808.2
26520.0,15128.8
1500.0,764.8
10740.0,11212.4
10520.0,6583.2
4020.0,4169.8
6600.0,8615.0
10160.0,14045.8
13540.0,11388.77
19840.0,21015.0
10860.0,9763.8
23260.0,23593.2
